Default,age,card_age,cashAmt_mean,cashAmt_non_null_months,cashCnt_mean,cashCnt_non_null_months,cashTotalAmt,cashTotalCnt,inCourt,isBlackList,isCrime,isDue,monthCardLargeAmt,noTransWeekPre,onlineTransAmt,onlineTransCnt,publicPayAmt,publicPayCnt,transAmt_mean,transAmt_non_null_months,transCnt_mean,transCnt_non_null_months,transTotalAmt,transTotalCnt,Default,maritalStatus_1,maritalStatus_2,maritalStatus_0,education_1,education_2,education_3,education_4,education_0,idVerify_0,idVerify_1,idVerify_2,threeVerify_1,threeVerify_2,threeVerify_0,Han_0,Han_1,netLength_1,netLength_2,netLength_3,netLength_4,netLength_0,sex_0,sex_1,sex_2,CityId_1,CityId_2,CityId_3,trans_total,total_withdraw,avg_per_withdraw,avg_per_online_spend,avg_per_public_spend,bad_record
0,28,10,2020,5,2.4,5,10100,12,0,0,0,0,10350,0.73,-9540,21,5230,13,2903.333333,6,2.5,6,17440,15,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,7258.333332,4848,841.666667,-454.285714,402.307692,0
0,36,22,6118.181818,11,3.818181818,11,67300,42,0,0,0,0,2610,0.44,1570,18,3110,9,447.2727273,11,1.090909091,11,4930,12,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,487.933884,23360.33058,1602.380952,87.222222,345.555556,0
0,34,80,0,0,0,0,0,0,0,0,0,0,720,0.73,3280,10,0,3,540,6,1,6,3280,6,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,540,0,0,328,0,0
0,26,7,2000,2,1,2,4000,2,0,0,0,0,11210,0.79,-188510,51,4110,4,2168.333333,6,2.333333333,6,13020,15,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,5059.444443,2000,2000,-3696.27451,1027.5,0
0,31,1,0,0,0,0,0,0,0,0,0,0,20000,0.96,20000,2,0,0,20000,1,2,1,20000,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,40000,0,0,10000,0,0
0,46,22,966.6666667,3,2.333333333,3,2900,7,0,0,0,0,0,0.92,0,0,0,0,0,3,0.333333333,3,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2255.555555,414.285714,0,0,0
0,26,35,200,2,1,2,400,2,0,0,0,0,5900,0.71,-31400,15,520,1,2410,12,1.916666667,12,28970,22,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,4619.166667,200,200,-2093.333333,520,0
0,28,25,733.3333333,3,1.333333333,3,2200,4,1,1,0,0,480,0.77,-18240,9,-90,1,125.7142857,7,1,7,890,7,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,125.714286,977.777777,550,-2026.666667,-90,2
0,27,11,300,1,1,1,300,1,0,0,0,0,0,0.96,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,300,300,0,0,0
0,26,2,0,0,0,0,0,0,0,0,0,0,1120,0.98,1120,1,1120,1,1120,1,1,1,1120,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1120,0,0,1120,1120,0
0,23,27,0,0,0,0,0,0,0,0,0,0,4300,0.71,4880,33,4720,15,710,7,2.285714286,7,5000,15,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1622.857143,0,0,147.878788,314.666667,0
0,27,35,4244.444444,9,2.555555556,9,38200,23,0,0,0,0,228890,0.42,-116970,41,0,1,36153.33333,12,3.75,12,433900,44,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,135575,10846.91358,1660.869565,-2852.926829,0,0
0,35,32,0,0,0,0,0,0,0,0,0,0,0,0.71,-125170,18,0,0,0,6,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,-6953.888889,0,0
0,33,19,333.3333333,3,1.333333333,3,1000,4,0,0,0,0,2330,0.71,-5900,26,3640,14,1350,5,1.4,5,6760,7,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1890,444.444444,250,-226.923077,260,0
0,26,79,1442.857143,7,4.142857143,7,10100,29,0,0,0,0,3350,0.58,4210,5,0,0,580,9,1.222222222,9,5240,9,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,708.888889,5977.551021,348.275862,842,0,0
0,25,1,0,0,0,0,0,0,0,0,0,0,0,0.98,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,43,38,0,0,0,0,0,0,0,0,0,0,1380,0.81,3440,10,0,2,518.5714286,7,1.285714286,7,3650,9,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,666.734694,0,0,344,0,0
0,26,7,100,1,1,1,100,1,0,0,0,0,32990,0.77,30550,24,33160,12,11848.33333,6,3.333333333,6,71090,18,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,39494.44443,100,100,1272.916667,2763.333333,0
0,40,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0,27,12,7714.285714,7,3.428571429,7,54000,24,0,0,0,0,31180,0.58,38710,18,26370,12,6059,10,1.2,10,60610,12,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,7270.8,26448.97959,2250,2150.555556,2197.5,0
0,37,9,5000,1,3,1,5000,3,0,0,0,0,64760,0.87,13520,9,1200,4,15854,5,2.6,5,79280,12,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,41220.4,15000,1666.666667,1502.222222,300,0
0,29,60,0,0,0,0,0,0,0,0,0,0,340,0.92,350,8,340,2,163.3333333,3,3.666666667,3,490,9,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,598.888889,0,0,43.75,170,0
0,26,9,500,2,1,2,1000,2,0,0,0,0,600,0.94,600,3,0,0,200,3,1,3,600,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,200,500,500,200,0,0
0,27,4,0,0,0,0,0,0,0,0,0,0,100,0.98,0,0,0,0,100,1,1,1,100,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,100,0,0,0,0,0
0,34,36,100,1,1,1,100,1,0,0,0,0,0,0.98,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,100,100,0,0,0
0,33,37,0,0,0,0,0,0,0,0,0,0,50,0.94,20,1,0,0,30,3,1,3,100,3,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,30,0,0,20,0,0
0,33,13,0,0,0,0,0,0,0,0,0,0,7660,0.29,-209120,99,17980,8,3980.833333,12,2,12,47790,24,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,7961.666666,0,0,-2112.323232,2247.5,0
0,52,4,4000,1,2,1,4000,2,0,0,0,0,48000,0.94,48000,1,0,0,48000,1,1,1,48000,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,48000,8000,2000,48000,0,0
0,24,55,1916.666667,6,2.666666667,6,11500,16,1,0,0,0,5470,0.6,2140,24,3270,4,1974,10,1.5,10,19750,15,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,2961,5111.111113,718.75,89.166667,817.5,1
